Exercicio;Tipo de Dívida;Modalidade da Dívida;Carteira;Tipo de Fonte;Fonte SOF Código;Fonte Recursos Código;Fonte Recursos Nome;Movimentação Financeira;Natureza Despesa Detalhada Código;Natureza Despesa Detalhada Nome; Saldo Atual 
2009;Externa;Contratual;MERCADO;Financeira;100;0;RECURSOS ORDINARIOS;Juros e Encargos;329021;JUROS SOBRE A DIVIDA POR CONTRATO;140635298,60
2009;Externa;Contratual;MERCADO;Financeira;100;0;RECURSOS ORDINARIOS;Juros e Encargos;329022;OUTROS ENCARGOS SOBRE A DIVIDA POR CONTRATO;302502280,20
2009;Externa;Contratual;MERCADO;Financeira;100;0;RECURSOS ORDINARIOS;Principal;469071;PRINCIPAL DA DIVIDA POR CONTRATO;429232665,30
2009;Externa;Contratual;MERCADO;Financeira;132;32;JUROS DE MORA DA RECEITA ADMINIST.PELA SRF/SF;Juros e Encargos;329021;JUROS SOBRE A DIVIDA POR CONTRATO;3110171,55
2009;Externa;Contratual;MERCADO;Financeira;132;32;JUROS DE MORA DA RECEITA ADMINIST.PELA SRF/SF;Principal;469071;PRINCIPAL DA DIVIDA POR CONTRATO;8719293,00
2009;Externa;Mobiliária;MERCADO;Financeira;143;43;REFINANCIAMENTO DA DIV. PUBL. MOBIL. FEDERAL;Principal;469076;PRINCIPAL DA DIVIDA MOBILIARIA REFINANCIADA;4952406889,00
2009;Externa;Contratual;MERCADO;Financeira;143;43;REFINANCIAMENTO DA DIV. PUBL. MOBIL. FEDERAL;Principal;469077;PRINCIPAL CORRIGIDO DIVIDA CONTR.REFINANCIADO;4033207189,00
2009;Externa;Contratual;MERCADO;Financeira;144;44;TITULOS DE RESPONSABILID. DO TESOURO NACIONAL;Juros e Encargos;329021;JUROS SOBRE A DIVIDA POR CONTRATO;1015726799,00
2009;Externa;Contratual;MERCADO;Financeira;144;44;TITULOS DE RESPONSABILID. DO TESOURO NACIONAL;Juros e Encargos;329022;OUTROS ENCARGOS SOBRE A DIVIDA POR CONTRATO;1867672,66
2009;Externa;Mobiliária;MERCADO;Financeira;144;44;TITULOS DE RESPONSABILID. DO TESOURO NACIONAL;Juros e Encargos;329023;JUROS,DESAGIOS E DESCONTOS DA DIV. MOBILIARIA;9002324084,00
2009;Externa;Mobiliária;MERCADO;Financeira;144;44;TITULOS DE RESPONSABILID. DO TESOURO NACIONAL;Juros e Encargos;329024;OUTROS ENCARGOS SOBRE A DIVIDA MOBILIARIA;46858604,97
2009;Externa;Mobiliária;MERCADO;Financeira;171;71;REC.DAS OPER.OF.DE CREDITO-RET.DE OC.-BEA/BIB;Principal;469072;PRINCIPAL DA DIVIDA MOBILIARIA RESGATADA;1083991821,00
2009;Externa;Contratual;MERCADO;Financeira;174;74;TAXAS PELO EXERCICIO DO PODER DE POLICIA;Juros e Encargos;329021;JUROS SOBRE A DIVIDA POR CONTRATO;111968,65
2009;Externa;Contratual;MERCADO;Financeira;174;74;TAXAS PELO EXERCICIO DO PODER DE POLICIA;Principal;469071;PRINCIPAL DA DIVIDA POR CONTRATO;502505,31
